ejecucion_id,conversacion_pk,turno_idx,monto,moneda,estado_promesa,numero_cuotas,fecha_pago,evidence_text_260
2,2744,5,207.00,,COMPROMETIDA_CON_FECHA,,2025-05-02,"En este caso, el importe que usted ha accedido es un importe mínimo de 207. Al día de hoy, nos nosotros le podríamos reactivar ese importe, pero solamente por hoy, por cierre de mes, ya que es el último día del mes, para que usted solamente liquide con 207. Si"
2,2738,12,93.00,,COMPROMETIDA_SIN_FECHA,,,En 1 93. Mi domicilio de Alondra.
2,2737,21,4180.00,,COMPROMETIDA_CON_FECHA,,2025-05-02,"No tiene la tarjeta en físico. Igual, una vez que usted confirme que puede realizar la cancelación de esos 4 180, se le envía el documento con el importe a cancelar. Se le envía la ficha técnica que ahí le aparece el nombre completo, el número DNI y el número "
2,2732,5,35.00,,COMPROMETIDA_CON_FECHA,,2025-05-02,"área de validación de datos de Financiero. El día de hoy nos encontramos actualizando el sistema informativo. ¿Podría, por favor, informarme si mantiene activo su correo electrónico Quito 0 4 9 1 arroba Gmail punto com? Sí. Ya. Adicional al 9 35, 0 8 3 3 7 5, "
2,2723,9,5000.00,,COMPROMETIDA_SIN_FECHA,,,"Sí, no, el de adelante. Lo que yo estoy empezando es conseguir ese dinero, 5000 y tantas y pagarlo, no. Con mi posibilidad, estoy juntando"
2,2689,9,2140.00,,COMPROMETIDA_SIN_FECHA,,,"Quiero juntar el dinero de los 2140, porque me dice la señorita anterior para pagarles eso."
2,2684,11,800.00,,COMPROMETIDA_SIN_FECHA,,,"Tiene más de 800 Yo me comunico al número de me comunico al número de WhatsApp, señor."
2,2679,32,9850.00,,COMPROMETIDA_EN_CUOTAS_SIN_FECHA,2,,"Y lo que. ¿Qué sucede? Cuando se le cuando se le solicite un descuento adicional a la financiera, hay que tiene que cumplir con unos parámetros. ¿Ya? Y no hacemos nada en en yo indicarle, sí, que con 5000 va a liquidar cuando no cumple con con el porcentaje mí"
2,2676,6,800.00,,COMPROMETIDA_SIN_FECHA,,,"Ah, ya, ya, no, ya les dije eso. Tengo 800 nomás para poder cancelar."
2,2674,5,1077.00,,COMPROMETIDA_SIN_FECHA,,,"Verifico que mantiene una deuda por un importe de 1077. Se le brindó la alternativa de poder liquidarlo con un importe menor de 366. ¿Por qué motivo no pudo llegar a un acuerdo de pago, señor Héctor?"
2,2664,4,5641.00,,COMPROMETIDA_CON_FECHA,,2025-05-02,"Buenos días, señor Uber Carvajal. ¿Qué tal? ¿Cómo está? Le saluda Darío Lano, del estudio C R Abogados, por encargo de financiera O. Lo estaba llamando para hacerle recordatorio del pago hoy día de los 850, para realizar la liquidación de la deuda que tiene de"
2,2662,5,2307.00,,COMPROMETIDA_SIN_FECHA,,,"Ya hace 2 años. Sé que verifico que la deuda es el año del 2024, tiene 606 días de atraso. En este caso, estimado, se le podría llevar una solicitud para poder llegar a un acuerdo de pago con un importe de 2307. ¿Podría usted solicitar el apoyo de algún famili"
2,2645,14,246.00,,COMPROMETIDA_CON_FECHA,,2025-05-03,"Ok. En todo caso, le vamos a generar su compromiso por 246, que sería la primera cuota que estaría cancelando el día mañana, ¿correcto?"
2,2634,5,19197.00,,COMPROMETIDA_SIN_FECHA,,,"Le saluda Claudia Mendoza, me comunico por encargo de Financiera. Ya. Estimado, me comunico referente a la deuda que mantiene por un importe de 19197. Se le brindó la alternativa de poder liquidarlo con 2997. ¿Por qué motivo no pudo llegar a un acuerdo de pago"
2,2630,5,1100.00,,COMPROMETIDA_SIN_FECHA,,,"Qué extraño, estimado. Bueno, en todo caso vamos a validar la información, porque lo que tengo que hacer en el sistema es otra información. ¿Ok? Ya nos volvemos a comunicar con usted, igual indicarle que la deuda no está quedando congelada, y el importe de cam"
2,2625,8,226.00,,COMPROMETIDA_CON_FECHA,,2025-05-02,"es de 378, y el día de hoy se le los beneficios para que pueda hacer el abono de 226 folios."
2,2618,6,500.00,,COMPROMETIDA_SIN_FECHA,,,"Los 500. Ahora, estimada, en este caso, ya el"
2,2613,19,31.00,,COMPROMETIDA_CON_FECHA,,2025-05-03,"Claro. A ver, en todo caso, como le acabo de mencionar, este yo sí podría ayudarle y elevar esa propuesta hasta, a más tardar, hasta el día de mañana, y el pago se estaría realizando a a lo mucho al día sábado, 31. ¿No podría qué"
2,2607,7,29.00,,COMPROMETIDA_SIN_FECHA,,,"El señor Héctor, estamos 29"
2,2604,8,1900.00,,COMPROMETIDA_SIN_FECHA,,,"Intereses, intereses y todo. Ese 1900 es por los intereses que se me ha sumado, no son por los gastos que yo he hecho. Antes de que se me sume ese, yo he llamado para pagar cual a mí no me han dado solución. No me vengan a cobrar ahorita, que se me ha subido l"
2,2579,8,29.00,,COMPROMETIDA_CON_FECHA,,2025-05-02,"Pero hoy es 29 estimada. Ya estamos Sí,"
2,2575,1,220.00,,COMPROMETIDA_CON_FECHA,,2025-05-02,"Así me me hace a mí. Buenos días. ¿Aló? Buenos días, señor Lino. ¿Qué tal? ¿Cómo estás? Buenas tardes, buenas tardes. Abogado por encargo de financiera hoy. Ajá. Lo estamos llamando para poderle brindar una alternativa de pago y poder llegar a un acuerdo. Prev"
2,2567,50,8849.00,,COMPROMETIDA_SIN_FECHA,,,"adicional extra al que ya se le ha brindado, que sería poder liquidar con 8849. Si no"
2,2565,8,13258.00,,COMPROMETIDA_SIN_FECHA,,,"Sí, señor Joseph, le saluda Claudia Mendoza, me comunico por encargo de Financiera OH!. Es referente a la deuda que mantiene por un importe de 13258, lo cual se le brindó la alternativa de liquidarlo con un importe menor de 1130. ¿Por qué motivo no pudo llegar"
2,2564,3,20783.00,,COMPROMETIDA_SIN_FECHA,,,"Sí, señora Yesenia, me comunico por encargo de Financiera o referente a la deuda que mantiene por un importe de 20783. Se le brindó la alternativa de liquidarlo con un importe menor de 9070 folios. ¿Por qué motivo no pudo llegar a un acuerdo de pago?"
2,2563,5,1270.00,,COMPROMETIDA_SIN_FECHA,,,"tiene. Efectivamente, señora señor Cristian, usted tiene una deuda con más de 3 años de mora, el importe se le ha elevado por encima de los 3332. A pesar de eso, la financiera le ha habilitado un descuento, puede liquidar esa deuda con 1270. Realizando este pa"
2,2556,18,985.00,,COMPROMETIDA_EN_CUOTAS_SIN_FECHA,2,,"brindando los 985, por eso es pago único. Eso incluso se le puede fraccionar en 2 cuotas de manera excepcional, porque eso es pago único. Cancelaría 493 este mes y y y el mes siguiente cancelaría la otra cuota y ya liquidaría la deuda. Pero usted tendría que c"
2,2549,6,9615.00,,COMPROMETIDA_EN_CUOTAS_SIN_FECHA,2,,"Ok. Estimado, se le ha brindado una campaña para que usted pueda cancelar bajo un importe de tan solo 9615. ¿Lo va a cancelar en la totalidad o o estaría cancelando, en este caso, para poder solicitar la excepción de que cancelen 2 partes en 2 meses?"
2,2545,4,5244.00,,COMPROMETIDA_SIN_FECHA,,,"Le saluda Claudia Mendoza. ¿Me comunico por encargo de Financiera Sí, señora Alicia. Me comunico referente a la deuda que mantiene por un importe de 5244. Se le está brindando la opción de poder liquidarlo con un importe menor de 1173. Motivo no pudo llegar a "
2,2544,32,1085.00,,COMPROMETIDA_CON_FECHA,,2025-05-30,"El pago siempre va a ir para la tarjeta, porque el el para poder cancelar siempre le van a pedir el número de la tarjeta. ¿Correcto? Les acercaría a cualquier caja registradora de Plaza Vea. Ahí va a indicar que va a realizar el pago de la Tarjeta OH!, le van "
2,2537,13,300.00,,COMPROMETIDA_CON_FECHA,,2025-05-02,"Es el único importe que se visualiza de 300, estimada, para que pueda usted hacer el pago a más tardar el día de hoy, es más tardar el día de mañana, se puede habilitar este beneficio, todo un día más. Tal vez se puede apoyar con la ayuda de su familia para qu"
2,2516,1,2195.00,,COMPROMETIDA_SIN_FECHA,,,"¿Aló? ¿Señora Eulocio Roque? ¿Perdón? Le saluda Claudia Mendoza, me comunico por encargo de Financiera. ¿Aló? Sí, lo escucho. Sí, estimado, me comunico referente a la deuda que mantiene por un importe de 2195. Se le brindó la alternativa de poder liquidar los "
2,2509,9,800.00,,COMPROMETIDA_SIN_FECHA,,,"Más de 800 días de atraso,"
2,2505,9,299.00,,COMPROMETIDA_CON_FECHA,,2025-05-03,"2 partes, abonar la mitad hasta el día de mañana, que sería 299 mensuales y los"
2,2494,1,30.00,,COMPROMETIDA_SIN_FECHA,,,"Siempre ¿Aló? Hola, buenas tardes. ¿Area de Financiera OH!? Ah, Financiera OH!, metió Gaspar. Sí, correcto. ¿Aló? Sí, buenas tardes. Estábamos recibiendo una llamada a través de este número telefónico, por encargo de Financiera OH!. ¿Mantiene alguna consulta, "
2,2493,1,2777.00,,COMPROMETIDA_CON_FECHA,15,2025-05-02,"Aló. Aló. ¿Señora Irene Párraga? Dígame. Le saluda Claudia Mendoza, me comunico por encargo de Financiero. Ajá. Estima, me comunico referente a la deuda que mantiene por un importe de 14934, lo cual se le brindó la alternativa de liquidarlo solo con 3887. ¿Por"
2,2492,10,1500.00,,COMPROMETIDA_SIN_FECHA,,,"porque yo te recuerdo que el año pasado en noviembre ya estaba llegando a un acuerdo, no sé si fue con 1 de sus compañeros hasta 4200, pero en ese tiempo tengo un familiar que está con con cáncer, entonces, he estado con los gastos y todo, ya está un poco mejo"
2,2485,6,4580.00,,COMPROMETIDA_SIN_FECHA,,,"deuda con más de 4 años de mora, bueno, más de 5 años de mora. El importe se le elevó por encima de los 33361. Esos son todos los intereses generados. Y la financiera le ha habilitado un descuento. Con solamente 4580 estaría liquidando la deuda. Se estaría des"
2,2477,7,1024.00,,COMPROMETIDA_EN_CUOTAS_SIN_FECHA,3,,"Claro, entiendo, señor Walter, pero ya no se le puede esperar mucho tiempo. Recuerde que la deuda es del año en las 1024, tiene más de un año en mora. Lo que se puede hacer en este caso es brindarle un fraccionamiento en cuota bajas en 3 cuotas de 377."
2,2471,5,20349.00,,COMPROMETIDA_CON_FECHA,,2025-05-02,"Beneficio que se le estaría otorgando el día de hoy, teniendo en cuenta que el adeudo total es de 24891 hasta la fecha hasta el día de hoy. El día de hoy le puedo dar un beneficio para que pueda liquidar su deuda por el importe de 20349. Si no cuenta con ese d"
2,2470,11,2022.00,,COMPROMETIDA_SIN_FECHA,,,"Estimado, el motivo por el cual no está cancelando es por un tema económico, porque desde el 2022 usted ya tiene la deuda. Visualizo que anteriormente ha tenido usted ha venido cancelando puntualmente esas cuotas, pero ya, este"
2,2469,16,50.00,,COMPROMETIDA_CON_FECHA,,2025-05-02,"Listo, señor, listo. De todas maneras, si logra conseguir los otros 50, sería genial para que pueda liquidar el día de hoy."
2,2468,13,30.00,,COMPROMETIDA_SIN_FECHA,,,"hasta el día viernes, 30."
2,2466,12,200.00,,COMPROMETIDA_CON_FECHA,,2025-05-02,"un año, lo que pasa es que, yo tendría que pagar hoy día, yo le dije a usted para pagarlo el día, porque a mí me habían también comprometido en darme ese pago para completar junto con esta letra, que de 800 y tanto creo que le hicimos 720 algo No, entiendo igu"
2,2463,1,6500.00,,COMPROMETIDA_SIN_FECHA,,,"¿Aló? ¿Aló Robin? Buen día. Buenos días, señor Robin Milton Cristóbal. ¿Qué tal? ¿Cómo estás? Le saluda Talio Lano, del estudio C R Abogados. Por encargo de Financiera OH!. Lo estamos llamando para poderle brindar una alternativa de pago y poder llegar a un ac"
2,2458,22,2500.00,,COMPROMETIDA_CON_FECHA,,2025-05-02,"Conseguiría los 330 para el día 30, y hoy estaría cancelando los 2500."
2,2451,14,1200.00,,COMPROMETIDA_SIN_FECHA,,,"Sí, le habían hecho una excepción para que liquidara con 1200, pero si usted, este, no canceló el momento que le tenía que pagar, porque su compromiso No,"
2,2449,9,25.00,,COMPROMETIDA_CON_FECHA,,2025-05-03,"Ya, porque acá en el sistema aparecen los 25, por eso se le está llamando. De todas maneras, la cuota que tiene que cancelar el día de mañana, sería"
2,2448,4,489.00,,COMPROMETIDA_SIN_FECHA,,,"El en agente interbank solamente realiza el pago con el número de su tarjeta financiera o información no le van a brindar solo es acercarse, indicar que va a abonar el importe de 489, la tarjeta financiera O, pero todo pago es previo acuerdo, porque se le tien"
2,2446,7,140.00,,COMPROMETIDA_SIN_FECHA,,,"La documentación y enviarle habilitar en el sistema para que pueda realizar el pago de los 140 soldes. Ya, señorita. ¿Sí? ¿En qué horario estaría realizando el pago, estimado, para poder habilitarla?"
